1;41;190;7.4;67;5;1;37.149166666666666
2;36;118;8;72;5;2;31.903433333333346
3;12;149;12.6;74;5;3;16.568233333333325
4;18;313;11.5;62;5;4;20.050433333333316
7;23;299;8.6;65;5;7;23.6615
8;19;99;13.8;59;5;8;18.44533333333332
9;8;19;20.1;61;5;9;9.473733333333332
12;16;256;9.7;69;5;12;17.167999999999996
13;11;290;9.2;66;5;13;16.637266666666672
14;14;274;10.9;68;5;14;16.264766666666667
15;18;65;13.2;58;5;15;15.322166666666657
16;14;334;11.5;64;5;16;19.29123333333333
17;34;307;12;66;5;17;26.111
18;6;78;18.4;57;5;18;11.526133333333338
19;30;322;11.5;68;5;19;26.249633333333335
20;11;44;9.7;62;5;20;11.154066666666667
21;1;8;9.7;59;5;21;7.155399999999998
22;11;320;16.6;73;5;22;17.649099999999997
23;4;25;9.7;61;5;23;8.008066666666666
24;32;92;12;61;5;24;24.54893333333334
28;23;13;12;67;5;28;18.84556666666668
29;45;252;14.9;81;5;29;44.22066666666672
30;115;223;5.7;79;5;30;97.07193333333336
31;37;279;7.4;76;5;31;36.77003333333334
38;29;127;9.7;82;6;7;28.664133333333343
40;71;291;13.8;90;6;9;71.60103333333333
41;39;323;11.5;87;6;10;47.90573333333333
44;23;148;8;82;6;13;27.516499999999986
47;21;191;14.9;77;6;16;20.269599999999993
48;37;284;20.7;72;6;17;28.576000000000004
49;20;37;9.2;65;6;18;17.811799999999995
50;12;120;11.5;73;6;19;14.821066666666663
51;13;137;10.3;76;6;20;15.951666666666666
62;135;269;4.1;84;7;1;115.40969999999996
63;49;248;9.2;85;7;2;57.24693333333336
64;32;236;9.2;81;7;3;35.62676666666664
66;64;175;4.6;83;7;5;76.32853333333333
67;40;314;10.9;83;7;6;41.66133333333333
68;77;276;5.1;88;7;7;83.24723333333331
69;97;267;6.3;92;7;8;92.08943333333333
70;97;272;5.7;92;7;9;93.32393333333331
71;85;175;7.4;89;7;10;85.03246666666672
73;10;264;14.3;73;7;12;14.532366666666672
74;27;175;14.9;81;7;13;32.559366666666676
76;7;48;14.3;80;7;15;15.375900000000003
77;48;260;6.9;81;7;16;49.032666666666685
78;35;274;10.3;82;7;17;35.609866666666655
79;61;285;6.3;84;7;18;65.31796666666665
80;79;187;5.1;87;7;19;78.60053333333332
81;63;220;11.5;85;7;20;57.97930000000002
82;16;7;6.9;74;7;21;20.520200000000003
85;80;294;8.6;86;7;24;73.25349999999996
86;108;223;8;85;7;25;86.12836666666664
87;20;81;8.6;82;7;26;26.830866666666665
88;52;82;12;86;7;27;51.165799999999976
89;82;213;7.4;88;7;28;79.94259999999996
90;50;275;7.4;86;7;29;63.224666666666664
91;64;253;7.4;83;7;30;58.10799999999998
92;59;254;9.2;81;7;31;53.51913333333335
93;39;83;6.9;81;8;1;35.192200000000014
94;9;24;13.8;81;8;2;13.997966666666661
95;16;77;7.4;82;8;3;23.085666666666672
99;122;255;4;89;8;7;113.38909999999997
100;89;229;10.3;90;8;8;83.30516666666666
101;110;207;8;90;8;9;96.89100000000005
104;44;192;11.5;86;8;12;50.93650000000001
105;28;273;11.5;82;8;13;31.307400000000012
106;65;157;9.7;80;8;14;48.33840000000003
108;22;71;10.3;77;8;16;19.485033333333337
109;59;51;6.3;79;8;17;53.7413333333333
110;23;115;7.4;76;8;18;24.81893333333332
111;31;244;10.9;78;8;19;33.21853333333335
112;44;190;10.3;78;8;20;37.469200000000015
113;21;259;15.5;77;8;21;21.015933333333333
114;9;36;14.3;72;8;22;10.3957
116;45;212;9.7;79;8;24;45.0439666666667
117;168;238;3.4;81;8;25;125.59880000000001
118;73;215;8;86;8;26;78.01926666666664
120;76;203;9.7;97;8;28;78.99013333333328
121;118;225;2.3;94;8;29;116.5944333333333
122;84;237;6.3;96;8;30;87.97953333333335
123;85;188;6.3;94;8;31;85.63383333333333
124;96;167;6.9;91;9;1;91.66160000000005
125;78;197;5.1;92;9;2;84.08846666666668
126;73;183;2.8;93;9;3;94.38146666666663
127;91;189;4.6;93;9;4;86.43006666666666
128;47;95;7.4;87;9;5;53.856733333333345
129;32;92;15.5;84;9;6;37.96723333333335
130;20;252;10.9;80;9;7;27.89186666666666
131;23;220;10.3;78;9;8;27.067466666666675
132;21;230;10.9;75;9;9;20.24683333333333
133;24;259;9.7;73;9;10;21.04396666666667
134;44;236;14.9;81;9;11;35.97286666666666
135;21;259;15.5;76;9;12;20.237966666666672
136;28;238;6.3;77;9;13;41.56376666666666
137;9;24;10.9;71;9;14;10.797499999999994
138;13;112;11.5;71;9;15;15.51553333333333
139;46;237;6.9;78;9;16;42.388066666666674
140;18;224;13.8;67;9;17;18.924833333333332
141;13;27;10.3;76;9;18;12.678500000000001
142;24;238;10.3;68;9;19;21.85366666666668
143;16;201;8;82;9;20;30.85163333333333
144;13;238;12.6;64;9;21;16.93079999999999
145;23;14;9.2;71;9;22;17.952466666666673
146;36;139;10.3;81;9;23;36.06506666666668
147;7;49;10.3;69;9;24;11.429166666666667
148;14;20;16.6;63;9;25;12.881066666666673
149;30;193;6.9;70;9;26;30.316399999999998
151;14;191;14.3;75;9;28;17.575866666666677
152;18;131;8;76;9;29;23.20576666666666
153;20;223;11.5;68;9;30;22.869700000000012
