#name sex hobby
1 m 2
1 m 1
1 m 3
2 f 2
2 f 1
2 f 3
3 m 3
3 m 2
4 m 3
4 m 2
4 m 1
5 m 2
5 m 1
5 m 3
6 m 2
6 m 3
6 m 1
7 f 1
7 f 2
7 f 3
8 m 3
8 m 1
9 m 2
9 m 3
9 m 1
10 m 3
10 m 2
10 m 1
11 m 1
11 m 3
11 m 2
12 f 3
12 f 1
12 f 2
13 m 2
13 m 3
14 m 1
14 m 2
15 m 2
15 m 3
15 m 1
16 f 2
16 f 3
17 f 3
17 f 2
18 m 1
18 m 3
18 m 2
19 f 3
19 f 1
20 f 1
20 f 3
20 f 2
21 m 2
21 m 3
22 m 2
22 m 3
23 f 1
23 f 2
24 f 3
24 f 1
24 f 2
25 f 3
25 f 1
25 f 2
26 m 2
26 m 1
26 m 3
27 f 2
27 f 3
27 f 1
28 m 1
28 m 2
29 f 2
29 f 3
29 f 1
30 f 2
30 f 1
30 f 3
31 m 1
31 m 2
31 m 3
32 m 1
32 m 2
33 m 2
33 m 3
33 m 1
34 f 2
34 f 1
34 f 3
35 f 2
35 f 3
36 m 2
36 m 1
37 m 2
37 m 1
38 f 1
38 f 3
38 f 2
39 m 3
39 m 1
39 m 2
40 f 1
40 f 2
40 f 3
41 m 2
41 m 1
41 m 3
42 m 3
42 m 1
43 m 1
43 m 3
43 m 2
44 m 3
44 m 1
44 m 2
45 m 1
45 m 2
46 f 1
46 f 2
46 f 3
47 m 1
47 m 2
48 f 3
48 f 2
49 m 3
49 m 2
50 m 2
50 m 3
51 f 2
51 f 1
51 f 3
52 m 1
52 m 2
52 m 3
53 m 2
53 m 1
54 f 1
54 f 2
54 f 3
55 f 1
55 f 2
55 f 3
56 m 2
56 m 1
56 m 3
57 f 3
57 f 2
57 f 1
58 m 3
58 m 1
58 m 2
59 m 1
59 m 2
59 m 3
60 f 3
60 f 1
61 f 3
61 f 2
62 f 1
62 f 2
62 f 3
63 f 3
63 f 1
63 f 2
64 m 3
64 m 2
65 m 3
65 m 2
66 f 1
66 f 2
67 m 1
67 m 3
68 m 1
68 m 2
69 f 1
69 f 3
70 m 3
70 m 2
70 m 1
71 m 2
71 m 1
72 m 2
72 m 3
73 m 3
73 m 2
74 m 3
74 m 2
74 m 1
75 f 3
75 f 2
75 f 1
76 f 1
76 f 3
77 f 3
77 f 2
77 f 1
78 f 3
78 f 1
79 f 1
79 f 2
79 f 3
80 m 3
80 m 1
81 f 3
81 f 2
82 f 1
82 f 3
83 m 3
83 m 2
84 m 1
84 m 2
85 m 3
85 m 2
86 m 2
86 m 3
86 m 1
87 m 1
87 m 3
88 m 3
88 m 1
88 m 2
89 m 1
89 m 3
89 m 2
90 m 2
90 m 1
90 m 3
91 f 3
91 f 1
92 f 2
92 f 1
93 f 1
93 f 2
94 m 3
94 m 1
95 f 2
95 f 3
96 f 2
96 f 3
97 f 3
97 f 2
98 f 3
98 f 1
99 f 3
99 f 2
99 f 1
100 m 2
100 m 1
101 f 1
101 f 3
101 f 2
102 f 2
102 f 1
103 m 2
103 m 1
104 f 3
104 f 2
105 f 2
105 f 1
106 f 2
106 f 3
107 f 2
107 f 1
108 f 2
108 f 1
108 f 3
109 m 3
109 m 1
110 m 2
110 m 3
110 m 1
111 m 2
111 m 1
112 m 3
112 m 2
112 m 1
113 m 3
113 m 1
114 m 3
114 m 1
115 f 1
115 f 2
116 f 2
116 f 3
117 f 2
117 f 3
118 m 3
118 m 2
118 m 1
119 f 3
119 f 2
119 f 1
120 f 1
120 f 2
121 f 2
121 f 3
121 f 1
122 f 2
122 f 3
123 f 1
123 f 2
124 f 2
124 f 1
124 f 3
125 f 2
125 f 1
126 f 1
126 f 2
126 f 3
127 f 2
127 f 3
128 f 1
128 f 3
128 f 2
